english,chinese
"Remember, too, that we are living in what’s becoming an intensely performative culture, with new outlets for different personas — one for home; one for work; one for Instagram, cable, etc. Open friction is no longer so easily subsumed by the almighty virtue of comity. “Everybody seems to be playing a certain role, and that should add another layer of skepticism about what’s really going on with people,” said Gil Troy, a presidential historian at McGill University who has written about political couples.",还需记住，我们生活在一个正在成形的强烈表现文化之中，不同的人格面具都有了新的表现场合——家里的，工作时的，用于Instagram的，上有线电视的，等等。公开的摩擦不再那么容易被礼仪的全能美德所包纳。“每个人似乎都在扮演某种角色，这应该对了解人们之间的真实状况又增添了一层怀疑，”麦吉尔大学(McGill University)研究总统的历史学家吉尔·特洛伊(Gil Troy)说，他曾写过关于政治夫妻的文章。
"To strike a more neutral note: Maybe the Conways simply embody the Washington power couple we all deserve in the Trump era. “This marriage represents the train wreck that is our current political culture,” Professor Troy said. “We are all intertwined as Americans, like we’re all in a marriage together and constantly colliding against one another. No one knows who’s going to break first and what will be the breaking point.”",说得更中性一点：也许康维夫妇不过是特朗普时代，我们值得看到的华盛顿权力夫妻的体现。“他们的婚姻是当下出轨列车般政治文化的代表，”特洛伊说。“作为美国人，我们都纠缠在一起，就像我们都处在同一个婚姻中那样，不断地相互冲突。没有人知道谁会先崩溃，也没有人知道崩溃点在哪里。”
We are all the Conways.,我们都是康维夫妇。
"On Friday, Lucy Flores, a former Democratic candidate for lieutenant governor of Nevada, accused Joe Biden of touching her inappropriately as they waited to take the stage at a 2014 election rally. He put his hands on her shoulders, she said, then nuzzled her hair and kissed the back of her head. She didn’t accuse Biden, who is reportedly close to announcing his presidential candidacy, of sexual harassment or assault, just of making her uncomfortable. “I’m not suggesting that Biden broke any laws, but the transgressions that society deems minor (or doesn’t even see as transgressions) often feel considerable to the person on the receiving end,” she wrote.",上周五，曾竞选内华达州副州长的民主党人露西·弗洛雷斯(Lucy Flores)指责乔·拜登(Joe Biden)在2014年的一次竞选集会上，在等待登台期间不恰当地触摸了她。她说，他把手放在她的肩膀上，用脸蹭她的头发，吻她的脑后。她没有指责据报道将宣布竞选总统的拜登犯有性骚扰或性侵犯行为，只是表示拜登让她觉得不舒服。“我并不是说拜登违反了任何法律，但被社会视为轻微过失（甚至不被视为过失）的行为，往往会让承受它的人感到相当严重，”她写道。
"In response, Biden released a statement saying that while he’s often been physically affectionate as a politician, “not once — never — did I believe I acted inappropriately.”",作为回应，拜登发表声明说，虽然作为政治人物，他的肢体语言往往充满感情，“但我认为自己从来没有——一次也没有——任何不当行为。”
"Then, on Monday, Amy Lappos, a former aide to the Democratic congressman Jim Himes, told The Hartford Courant that Biden pulled her toward him to rub noses during a 2009 fund-raiser. “There’s absolutely a line of decency,” Lappos said, adding: “Crossing that line is not grandfatherly. It’s not cultural. It’s not affection. It’s sexism or misogyny.” Biden’s campaign hadn’t yet begun and was already in crisis.",然后在周一，民主党国会议员吉姆·希姆斯(Jim Himes)的前助手艾米·拉波斯(Amy Lappos)对《哈特福德新闻报》(The Hartford Courant)说，在2009年的一次筹款活动上，拜登把她拉到自己身边，用鼻子蹭她的鼻子。“这绝对跨越了一条得体言行的界线，”拉波斯说，她还说：“他的跨越不是什么祖父式的亲昵。这不是文化。不是喜爱。这是性别歧视或厌女。”拜登的竞选活动还没有开始，已经处于危机之中。
"Flores, Lappos and Biden are probably all telling the truth. There are countless photos of Biden behaving in the ways that Flores and Lappos describe: squeezing women, rubbing their shoulders, leaning in too close. All this was open, not furtive, presumably because it never occurred to Biden that he was doing anything untoward.",弗洛雷斯、拉波斯和拜登可能都说的是真话。有无数照片显示拜登的行为就像弗洛雷斯和拉波斯描述的那样：贴近女人，抚摸她们的肩膀，俯身靠得太近。所有这一切都是公开的，不是偷偷摸摸的，大概是因为拜登从未想过自己是在做什么不恰当的事。
"I don’t necessarily blame him. In the past few years, women have been calling out daily indignities that previous generations grew up quietly tolerating: lingering hugs from a boss, embarrassing intimate questions, crude office jokes. Individually, these are small acts, and most men probably don’t understand how cumulatively draining they can be. Women, after all, have only recently begun to articulate it.",我不见得一定要怪罪他。在过去的几年里，女人们一直在为过去几代人成长过程中默默忍受的日常侮辱大声疾呼：老板长时间的拥抱、令人尴尬的私密问题、粗俗的办公室笑话。就个人而言，这些都是小事，大多数男人可能不明白这些行为累积起来会有多么让人厌烦。毕竟，女人们只是从最近才开始表达这一点。
"I received plenty of unwanted shoulder massages when I was younger, and for a long time I assumed there was something wrong with me when they made me flinch. It was affirming to finally realize that other women also hated routine invasions of their personal space. But if it wasn’t always obvious to me that the men were at fault in these awkward encounters, it might not have been obvious to them, either.",我年轻的时候也受过很多不必要的肩部按摩，有很长一段时间，它们让我感到不自在，而我还以为这是我的问题。最后我终于意识到，其他女性也讨厌这种对她们私人空间的习惯性侵犯，这很令人鼓舞。但是，在这些尴尬的遭遇中，如果我并不总能明显感觉这些男人有错，那么他们也未必能明显地感觉到。
"So I don’t think Biden’s avuncular pawing is a #MeToo story. (Lappos specifically said the way he grabbed her “wasn’t sexual.”) But if Biden was more oblivious than predatory, his history still puts him out of step with the mores of an increasingly progressive Democratic Party. On Sunday, The New York Times reported that some Democrats are bracing “for an extended reckoning about Mr. Biden and gender if he enters the race.” The inevitably of such a reckoning should make Biden reconsider getting in.",所以我不认为拜登慈祥的动手动脚是一个“#我也是”故事。（拉波斯特别指出，他抓住她肩膀的方式“与性无关”。）但是，就算拜登不是性侵，只是没有意识，他过去的历史也仍然让他与日益进步的民主党道德观格格不入。周日，《纽约时报》报道称，一些民主党人正在做准备，“如果拜登参选，会对他和性别问题进行更广泛的评估。”这种评估不可避免地会让拜登重新考虑是否参选。
"Biden’s issues with gender, after all, go far beyond chronic handsiness. His waffling on reproductive choice troubles many feminists; as The Times reported last week, Biden’s “back-and-forth over abortion would become a hallmark of his political career.” He was the chairman of the hearings on Clarence Thomas’s Supreme Court nomination, where Anita Hill, who accused Thomas of sexual harassment, was demeaned and dismissed. Though Biden has expressed sorrow for how Hill was treated, he’s never directly apologized to her.",毕竟，拜登在性方面的问题远远不止于长期的毛手毛脚。他在生育选择上的胡诌令许多女性主义者深感困扰；正如《纽约时报》上周报道的那样，拜登“在堕胎问题上的反复将成为他政治生涯中的一个标志”。他是克拉伦斯·托马斯(Clarence Thomas)被提名为最高法院大法官的听证会主席，会上指控托马斯性骚扰的安妮塔·希尔(Anita Hill)遭到羞辱和贬低。尽管拜登对希尔受到的待遇表示痛心，但他从未直接向希尔道歉。
"Beyond gender, on issue after issue, if Biden runs for president he will have to run away from his own record. He — and by extension, we — will have to relive the debate over the Iraq war, which he voted to authorize. He’ll have to explain his vote to repeal the Glass-Steagall Act, which, by lifting regulations on banking, helped create the conditions for the 2008 financial meltdown. (Biden has called that vote one of the biggest regrets of his career.) In 2016, Hillary Clinton was slammed for her previous support of the 1994 Violent Crime Control and Law Enforcement Act, which contributed to mass incarceration. Biden helped write the law, which he called, in 2015, the “1994 Biden crime bill.”",除了性别问题，如果拜登竞选总统，他将不得不在一个又一个问题上为自己曾经的言论找借口。他——进而也包括我们——将不得不重温有关伊拉克战争的辩论——他在战争授权上投了赞同票。他将不得不解释他投票废除《格拉斯-斯蒂格尔法案》(Glass-Steagall Act)的原因，该法案解除了对银行业的监管，为2008年的金融危机制造了条件。（拜登称那是他政治生涯最后悔的投票之一。）2016年，希拉里·克林顿(Hillary Clinton)因之前支持1994年的《暴力犯罪控制和执法法案》(Violence Crime Control and Law Enforcement Act)而受到抨击，该法案导致了大规模监禁。拜登协助起草了这项法案，他在2015年曾称之为“1994年拜登犯罪法案”。
"None of this means that Democrats need to disavow Biden. He is by most accounts a man of great personal decency. As vice president, he pushed Barack Obama’s administration in the right direction on issues including gay marriage and campus sexual assault. It’s not surprising that he leads most polls of 2020 Democrats; he is well known and well loved.",这些都不等于民主党人需要跟拜登划案而坐。多数人都说他是个非常正派的人。作为副总统，他推动奥巴马政府在同性恋婚姻和校园性侵犯等问题上朝着正确的方向前进。他在大多数2020年民主党竞选民调中领先是意料之中的；他很有名，也很受爱戴。
"Still, the widespread assumption that Biden would pose the strongest challenge to Donald Trump is unwarranted. In recent years, neither party has done well when they’ve chosen candidates who were meant to appeal to some elusive cadre of swing voters but lacked a robust grass-roots base. On paper, the war heroes John Kerry and John McCain looked electable; Obama and Trump did not. To those desperate to unseat Trump, the centrist, establishment Biden might seem like the safest choice, but it would actually be risky to pick a candidate who will need to constantly apologize for himself.",不过，关于拜登将对唐纳德·特朗普构成最大挑战的普遍看法，是没有根据的。近年来，两党做得都不是很好，他们选择的候选人本想吸引摇摆选民中那些难以捉摸的核心群体，但却缺乏坚实的草根基础。从理论上说，战争英雄约翰·克里(John Kerry)和约翰·麦凯恩(John McCain)看似有可能当选的；奥巴马和特朗普则看似不太可能。对于那些迫切希望把特朗普赶下台的中间派来说，建制派拜登似乎是最安全的选择，但是选择一个需要不断为自己道歉的候选人实际上是有风险的。
"Particularly when he doesn’t know how to do that very well. In response to Flores, Biden could have told her that he was sorry for making her uneasy. Instead, he focused on his intentions rather than her experience, a faint echo of the way he’d ignored Hill’s experience decades ago. No one should judge the whole span of Biden’s career by the standards of 2019, but if he’s going to run for president, it’s fair to ask whether he’s the right leader for this moment. He is a product of his time, but that time is up.",尤其是他有时不知道怎样才能做好这件事。作为对弗洛雷斯的回应，拜登本可以告诉她，他很抱歉让她感到不适。相反，他关注的是自己的意图，而不是她的体验，这有点像几十年前他忽视希尔的经历。没有人应该用2019年的标准来评判拜登的整个生涯，但如果他要竞选总统，我们有理由去问，他究竟是不是适合当下的领导人。他是他那个时代的产物，但那个时代已经走到头了。
"It has been another bad inning for male leadership. Besides the hourly flatulence of Trumpian twitterings and the addition of Brazil’s Bolsonaro to the confederacy of bullyboy power, we have been treated to a second wave of masculine mayhem. The reputations of the Patriots owner Robert Kraft, R. Kelly, the philanthropist Michael Steinhardt and even the sainted co-founder of the Southern Poverty Law Center, Morris Dees, are the latest to circle the drain. As Harvard’s Cornel West recently observed to Anderson Cooper, “The brothers are just out of control.”",对男性领导者来说，这又是糟糕的一局。除了特朗普不停发推大放厥词、巴西的博索纳罗(Bolsonaro)加入流氓权力联盟外，我们还有幸又目睹了一波男性胡来的景象。新英格兰爱国者队(Patriots)老板罗伯特·K·克拉夫特(Robert K. Kraft)、歌手R·凯利(R. Kelly)、慈善家迈克尔·斯坦哈特(Michael Steinhardt)，甚至南方贫困问题法律中心(Southern Poverty Law Center)德高望重的创始人莫里斯·迪斯(Morris Dees)都是名誉扫地的最新代表。正如哈佛的科内尔·韦斯特(Cornel West)最近向安德森·库珀(Anderson Cooper)所说的，“兄弟们失控了。”
"Can women save the world? A ripped Captain Marvel can rescue us from intergalactic enemies, but down here on planet Earth a new paradigm of female leadership is emerging. A year ago, Prime Minister Jacinda Ardern of New Zealand was famous for being a world leader who gave birth while in office. Then came the slaughter in the Christchurch mosques and overnight the gravitas in her angular face beneath a hijab became an iconic image of global humanity. As women across New Zealand emulated her gesture of solidarity by donning head scarves, the Arab world took note. A portrait of Ms. Ardern was projected across the world’s tallest building, Dubai’s Burj Khalifa, with the word “Peace” emblazoned above it in English and Arabic.",女性能拯救世界吗？一个醉酒的惊奇队长(Captain Marvel)就能把我们从星际敌人手中拯救出来，但在这地球上，一种新的女性领导模式正在形成。一年前，新西兰总理杰茜达·阿德恩(Jacinda Ardern)作为在任期内生下宝宝的世界领导人而闻名。此后，发生了基督城清真寺屠杀事件，一夜之间，她带着头巾、棱角分明的面孔流露出的庄重，成为了国际社会人性的标志形象。随着新西兰各地的女性带上头巾效仿她的团结姿态时，阿拉伯世界注意到了这一点。在世界第一高楼迪拜哈利法塔(Burj Khalifa)上，打出了阿德恩的巨幅肖像，上方用英语和阿拉伯语写着“和平”一词。
"Countries from Georgia to Ethiopia have recently elected their first female presidents. Women now lead industries where once the thin air was inhaled only by men. For the first time, women have the top jobs at the New York Stock Exchange and at Nasdaq. With the ascension of Kathy Warden to C.E.O. of Northrop Grumman in January, four out of five of America’s biggest defense companies are run by women. Chicago is about to get its first black female mayor, and the Democratic leading light Stacey Abrams just drew a line in the sand when she squelched the idea of running for vice president with the crisp rejoinder, “You don’t run for second place.”",从格鲁吉亚到埃塞俄比亚，多个国家近期选出了它们的第一位女总统。如今，女性担任领导的行业曾一度只有男性的身影。有史以来第一次，女性在纽约证券交易所(New York Stock Exchange)和纳斯达克(Nasdaq)占据了最高职位。随着凯西·沃登(Kathy Warden)1月份荣升诺思罗普-格鲁曼公司(Northrop Grumman)的首席执行官，5家美国最大国防企业中，有4家是由女性领导。芝加哥即将迎来首位黑人女市长，民主党领袖斯泰西·阿布拉姆(Stacey Abrams)不久前表明立场，用一句干脆的回应打消了让她竞选副总统的念头，“要选就选正职。”
"Among the 42 new women sworn into Congress, young rock stars like Alexandria Ocasio-Cortez electrify all of us with their passion and verve, but it’s Nancy Pelosi — mother of five, grandmother of nine — who knows how to make the tangerine toddler in the White House eat his spinach. It’s salutatory to watch her corral her rebellious Democratic brood with committee treats and pacifying timeouts. “Be calm. Take a deep breath. Don’t become like them,” she told her angry caucus in an emotional post-Mueller strategy session.",在国会宣誓就职的42名新女性中，像亚历山德里娅·奥卡西奥-科尔特兹(Alexandria Ocasio-Cortez)这样年轻的政坛明星，以其热情与活力令我们所有人为之一振，而正是南希·佩洛西(Nancy Pelosi)——5个孩子的母亲、9个孩子的祖母——最懂得如何让白宫那位橙色男童乖乖吃他的菠菜。看着她为了安抚不听话的民主党伙伴，许以委员会职位，让他们平息下来从长计议，令人心生敬意。“保持镇定。深吸一口气。不要成为他们的样子，”她在一次群情激奋的后穆勒战略会议上对愤怒的党团成员说。
"I don’t contend that women are naturally and invariably better at running governments than men. Witness the dismal sight of Theresa May stumbling on the glass cliffs of Dover last week as, for a third time, her Brexit deal went down in defeat. Yes, the British prime minister may have been better destined to be deputy headmistress of a girls’ school in some provincial city like Salisbury, measuring the length of her pupils’ skirts with a ruler. But the 13 Tory grandees — all male, all white — who descended on Chequers to browbeat Mrs. May yet again this month were described by a bitter London Remainer friend of mine as “bogus patriots in crumpled suits and yesterday’s underpants, loving the sound of their own voices.” Plus Mrs. May found herself in No. 10 Downing Street only because these same feckless upper-class men decided to kiss off the European Union without a clue how to achieve it.",我并不认为女性天生比男性更擅长管理政府。看看特丽莎·梅(Theresa May)上周多佛玻璃悬崖上跌跌撞撞的悲惨景象——她的脱欧方案第三次遭到挫败。是的，这位英国首相可能注定更适合在索尔兹伯里(Salisbury)这样的地方城市当一名女校的副校长，拿着尺子量学生裙子的长度。但本月再度突访契克斯别墅(Chequers)威逼特丽莎·梅的那13位保守党大佬——全为白人男性——被我伦敦一位嘴毒的留欧派友人形容为“穿着皱巴巴的西装和昨天没换的底裤、爱听自己说话声的假爱国者”。另外，特丽莎·梅入主唐宁街10号也是因为这些无能的上流男士决定跟欧盟一刀两断，却又不知道该怎样怎么实现这个目标。
"At a minimum, we can at least argue that women are afflicted by what Hillary Clinton, who has spent a lifetime with someone who lacks it, once called “the responsibility gene.” I can bet a bucket of Bitcoins that we’ll never learn that any of the four married women plausibly seeking the Democratic presidential nomination are secretly sexting pictures of parts of their anatomy to a boyfriend.",至少，我们可以说，女性受到了希拉里·克林顿(Hillary Clinton)所说的“责任基因”的困扰，她一生都和缺乏这种基因的人生活在一起。我敢拿一桶比特币打赌，我们永远也不会发现，在四位角逐民主党总统候选人提名的已婚女性中，有谁会偷偷向男友发送自己身体部位的色情照片。
"But there is a deep lesson here. During thousands of years of civilization, women have evolved to deal with the intractable perplexities of life and find means of peaceful coexistence where men have traditionally found roads to conflict. Women have accumulated rich ways of knowing that until recently were dismissed in male circles of power. The alchemy of what has made women the way they are is mysterious: Is it a result of centuries spent trying to survive and prosper in societies where they’ve been viewed as lesser? Or, until recently, of always being appointed the family caregiver, bearing and raising children, tending to elderly parents and disabled siblings, so often left to shoulder the unpaid burdens of real life? Women have learned and taught lessons about how to cope with seeming impossibilities in ways that men traditionally — and to this day — have not. Coaching a slow learner on homework after a day of hassles at the office provides a deep experience of delayed gratification. A woman’s wisdom comes, in part, from the great juggle of her life.",但这里有一个深刻的教训。历经几千年的文明，女性进化为专门处理生活中种种棘手的困惑，并在传统上由男人制造冲突的地方找到和平共处的手段。女性积累了直到最近还被男性权力圈摒弃的丰富知识。女性之所以成为今天的样子，其中的法术颇为神秘：这是几个世纪来女性在社会中被视为不那么重要的领域努力生存发展的结果吗？或者是因为，直到前不久，女人还总是被任命为家庭的看护者，需要抚养和培育孩子，照顾年迈的父母和残疾的兄弟姐妹，经常被留下来承担现实生活中不需支付报酬的负担？女性已经学习并传授了一些经验教训，如何以男性传统上不会——而且直到今天还没学会——的方式来处理看似不可能的事情。在办公室处理完一天的麻烦后，再来辅导一个脑子慢的学生做家庭作业，可以让人体会到强烈的延迟满足感。女人的智慧部分来自于她生活中必须同时应付许多事情。
"Until very recently, that kind of wisdom was banished to folkways or deprecated as secondary. But as women step into their new roles, the value of that wisdom is beginning to emerge in unexpected ways. Sometimes, it’s a viral cultural moment that reminds us. Who will forget the image of the stoically seated CBS anchor Gayle King intoning in a soothing tone “Robert, Robert” to a flailing, weeping, lying R. Kelly?",直到前不久，这种智慧还被贬低为民俗或者次要。但随着女性步入新的角色，这种智慧的价值开始以意想不到的方式显现出来。有时，一个病毒式传播的文化时刻会提醒我们。谁会忘记CBS主播盖尔·金(Gayle King)坚忍地坐在那里，用安抚的语气对哭着挥舞手臂、满嘴谎言的R·凯利(R. Kelly)说“罗伯特，罗伯特”的画面?
"It’s past time for women to stop trying to cram themselves into outdated NASA spacesuits designed for an alien masculine physique. Salvation doesn’t lie in pursuing traditional male paths of ejaculatory self-elevation. In drawing on women’s wisdom without apology and pushing that wisdom forward into positions of power, we can soothe our world and, maybe, even save it.",现在，女性不该再努力把自己塞进过时的NASA宇航服里了，它们是专为不相容的男性体格设计的。拯救并不在于追求射精式自我提升的传统男性道路。如果能够坦然地汲取女性的智慧，并把这种智慧推向权力的位置，我们便可以安抚我们的世界，甚至可以拯救它。
"HONG KONG — Chief Justice Zhou Qiang, China’s top judicial official, is hardly a radical reformer. But to liberal-minded watchers of the country’s evolving court system, he has nonetheless been an encouraging figure.",香港——中国高级司法官员、最高人民法院院长周强算不上是一个激进的改革者。但在对这个国家不断发展的法院制度有所观察、那些支持变革人士的眼中，他仍是一个令人感到乐观的人物。
"In recent years, he has spearheaded an effort to make China’s judiciary, which is subordinate to the ruling Communist Party, more professional. He has pushed to weed out poorly trained judges and to raise the pay of those with formal legal training, which often includes a heavy dose of Western jurisprudence.",近年来，他已带头努力把隶属于执政的共产党的中国司法部门变得更加专业化。他已推动了一些做法，包括把缺乏训练的法官清理出去、同时为那些受过正式法律培训的法官提高薪酬，这种培训通常包括大量的西方法学。
"So when the chief justice used warlike language on Saturday to denounce the idea of an independent judiciary and other cherished liberal principles, warning judges not to fall into the “trap” of “Western” ideology, observers in China and abroad were shocked and dismayed.",所以，当上周六，这位最高人民法院院长用好战的言辞谴责了司法独立概念及其他人们钟爱的自由主义原则、警告法官不要陷入“西方”意识形态的“陷阱”时，中国和国外的观察者们都感到震惊和失望。
"“We should resolutely resist erroneous influence from the West: ‘constitutional democracy,’ ‘separation of powers’ and ‘independence of the judiciary,’” Chief Justice Zhou, the head of the Supreme People’s Court of China, said in a speech to a group of legal officials in Beijing. “We must make clear our stand and dare to show the sword.”",最高人民法院院长周强在北京对一些法官发表讲话时说，“要坚决抵制西方‘宪政民主’、‘三权分立’、‘司法独立’等错误思潮影响，旗帜鲜明，敢于亮剑。”
"The speech was widely seen as a bow to the strict political climate that President Xi Jinping has established in China, as a major Communist Party conclave approaches this year. Though Mr. Xi won plaudits this week at the World Economic Forum in Davos, Switzerland, for his support of economic globalization, at home he has overseen a yearslong program to constrain civil society, promote adulation for Mao Zedong, stamp out support for an independent press and sharply limit speech on the internet.",随着中国共产党今年的全国代表大会即将召开，他的这番讲话，被广泛认为是受迫于国家主席习近平在中国建立起来的严峻政治气氛而作出的。虽然本周，在瑞士达沃斯举行的世界经济论坛上，习近平因支持经济全球化而赢得了称赞，但他在国内一直在监督一项旷日持久的行动的开展，约束公民社会，提倡吹捧毛泽东，打压对独立出版的支持，并大幅限制互联网上的言论。
"“This statement is the most enormous ideological setback for decades of halting, uneven progress toward the creation of a professional, impartial judiciary,” Jerome A. Cohen, director of the U.S.-Asia Law Institute at New York University, wrote of the chief justice’s speech in a blog post. “It has already provoked some of China’s most admirable legal scholars to speak out in defiance, and, despite their prominence, I fear not only for their academic freedom and careers but also for their personal safety.”",纽约大学亚美法研究所所长孔杰荣(Jerome A. Cohen)在一篇针对周强讲话的博客文章中写道，“对朝着建立一个专业、公正的司法系统所做出的断断续续、不均衡的进步来说，这种说法是几十年来的最大的意识形态挫折。它已经引起中国一些最令人钦佩的法律学者的公开反对，尽管他们享有盛名，我却不仅为他们的学术自由和职业担心，也为他们的人身安全感到担忧。”
"One Chinese scholar who spoke out was He Weifang, a law professor at Peking University, whose own online post criticizing the remarks was removed from the internet. In the post, he said it was wrong to call judicial independence a Western concept, citing the example of Bao Zheng, a famous Chinese judge who lived about 1,000 years ago and was celebrated for his just decisions.",一位公开表态的中国学者是北京大学法学教授贺卫方，他自己发表于网上、批评周强讲话的文章现已被删除。在那篇文章中，贺卫方说，把司法独立称为西方概念是错误的，还引用了包拯的例子，包拯是约一千年前一位著名的中国法官，因其判案公正而垂名青史。
"“This is truly a statement that wrecks the nation and harms the people,” Mr. He wrote. “It truly goes against history.”",贺卫方写道，“（这）是真正的祸国殃民的言行，完全是在开历史的倒车。”
"In a telephone interview on Tuesday, Mr. He said Mr. Xi’s comments at a Communist Party work conference two days before the chief justice’s speech had made it clear that he was demanding obedience from the judiciary.",在周二的电话采访中，贺卫方说，在最高人民法院院长讲话的两天前，习近平在共产党的一个工作会议上说的话表明，他要求司法部门唯命是从。
"“Xi said some very harsh things,” Mr. He said. “He demanded that political and legal work must safeguard the stability of the regime. So now heads of these judicial organizations must declare where they stand, to show that they support what Xi said.”",“习在会上讲了一些很激烈的话，”贺卫方说。“要求政法工作要维护政权稳定。那现在下面这些司法机关的首长都必须要表态，表达对习这样一种说法的拥护。”
"In his speech Saturday, Chief Justice Zhou also exhorted judges to “safeguard by law images of leaders and heroes, and to resolutely safeguard the party and the People’s Army’s glorious history.”",在周六的讲话中，最高人民法院院长周强敦促法官“依法维护领袖、英烈形象，坚决捍卫党和人民军队的光辉历史。”
"Mr. Cohen said that remark was consistent with Mr. Xi’s effort to whitewash the image of Mao, Communist China’s first leader. Since 2013, the Communist Party has spoken out against the notion of “historical nihilism,” which it takes to mean any denigration of the historical image of Mao and the party, including discussion of Mao’s disastrous economic policies in the late 1950s or his chaotic Cultural Revolution.",孔杰荣说，上述言论与习近平粉饰毛泽东形象的努力相一致，毛泽东是共产党统治中国后的首位领导人。自2013年起，共产党就在反对“历史虚无主义”的概念，共产党把“历史虚无主义”解释为任何对毛泽东和党的历史形象的诋毁，包括对毛泽东在1950年代后期的灾难性经济政策、或他发动的混乱的文化大革命的讨论。
"In recent weeks, the government has cracked down harshly on some officials who made negative remarks about Mao. In the northern province of Hebei, a deputy director of the Press, Publication, Radio, Film and Television Bureau in the provincial capital was fired after making what were deemed “erroneous comments” on his social media account, which has since been deleted. Overseas Chinese websites reported that the comments were critical of Mao.",在最近几周里，政府严厉打击了一些对毛泽东发表了负面评论的官员。在北方的河北省，省会城市文化广电新闻出版局副局长被解除职务，此前他在社交媒体帐户上发表了被认为是“错误的言论”，他的帐户现已被删除。海外中文网站报道说，那些言论批评了毛泽东。
"While his position is prestigious, Chief Justice Zhou is not a member of the Communist Party’s ruling Politburo. Before Mr. Xi’s ascension to power in 2012, the jurist was a rising star, serving as the top official in Hunan, Mao’s home province. He was frequently mentioned as a possible candidate for a top leadership position.",虽然周强身居要职，但他不是共产党主持政府的政治局的成员。在习近平2012年上台之前，周强曾是一位上升的明星，在毛泽东的家乡湖南担任最高官员。人们曾经常提到他可能是一个高级领导职位的候选人。
"Now he is showing his fealty to Mr. Xi, Mr. Cohen, the director of the U.S.-Asia Law Institute, said in a telephone interview. He said the speech appeared to be a bid for political survival before the Communist Party Congress set for late this year, which will determine who serves directly under Mr. Xi for the next five years.",亚美法研究所所长孔杰荣在电话采访中说，现在周强正在宣誓效忠习近平。孔杰荣说，周强的这番讲话，看来是在共产党全国代表大会召开之前，争取政治生存的表现，党代会将决定谁会在未来五年里直接在习近平手下工作，将于今年晚些时候召开。
"“People who know him find him a reasonable person who’s had a good legal education and who had been open before he became chief justice to improvements in the legal system,” Mr. Cohen said. “This must be pretty bitter gruel for him to swallow in order to try to bring the courts into a kind of militant observance of the highest party leadership.”",“认识他的人觉得他是一个有头脑的人，他受过良好的法律教育，在他成为最高法院院长之前，对改善法律制度持开放的态度，”孔杰荣说。“要试图让法院对党的最高领导有一种战士般的遵从，这对他来说，一定是需要吞到肚子里的苦水。”
"WASHINGTON — As President Trump met with advisers in the Oval Office in May 2017 to discuss replacements for the F.B.I. director he had just fired, Attorney General Jeff Sessions slipped out of the room to take a call.",华盛顿——2017年5月，特朗普总统在椭圆形办公室跟顾问们开会，讨论刚刚被他解雇的联邦调查局局长的接替人选，司法部长杰夫·塞申斯(Jeff Sessions)溜出房间接了个电话。
"When he came back, he gave Mr. Trump bad news: Robert S. Mueller III had just been appointed as a special counsel to take over the investigation into Russia’s interference in the 2016 presidential election and any actions by the president to impede it.",当他回来时，他给特朗普带来一个坏消息：罗伯特·S·穆勒三世(Robert S. Mueller III)刚刚被任命为特别检察官，负责调查俄罗斯干预2016年总统大选，以及总统是否存在任何阻挠的行动。
"Mr. Trump slumped in his chair. “Oh, my God,” he said. “This is terrible. This is the end of my presidency. I’m fucked.”",特朗普瘫坐在椅子上。“天呐，”他说，“这太可怕了。我要下台了。完蛋。”
"It has not been the end of his presidency, but it has come to consume it. Although the resulting two-year investigation ended without charges against Mr. Trump, Mr. Mueller’s report painted a damning portrait of a White House dominated by a president desperate to thwart the inquiry only to be restrained by aides equally desperate to thwart his orders.",他的任期并没有结束，但也火烧眉毛了。尽管随后两年的调查在结束时并没有对特朗普提出任何指控，但穆勒的报告描绘了一幅不堪的画面：白宫被一个拼命阻挠调查的总统所控制，结果却受制于那些同样拼命阻挠其命令的助手们。
"The White House that emerges from more than 400 pages of Mr. Mueller’s report is a hotbed of conflict infused by a culture of dishonesty — defined by a president who lies to the public and his own staff, then tries to get his aides to lie for him. Mr. Trump repeatedly threatened to fire lieutenants who did not carry out his wishes while they repeatedly threatened to resign rather than cross lines of propriety or law.",从400多页的穆勒报告中浮现出来的白宫，是一个充斥不诚实文化的冲突温床。定义这个文化的，是一个向公众和自己的手下撒谎，然后还想让助手替他撒谎的总统。特朗普曾多次威胁要解雇那些不听话的手下，而他们也多次以辞职来威胁，不愿逾越规矩和法律的界限。
"At one juncture after another, Mr. Trump made his troubles worse, giving in to anger and grievance and lashing out in ways that turned advisers into witnesses against him. He was saved from an accusation of obstruction of justice, the report makes clear, in part because aides saw danger and stopped him from following his own instincts. Based on contemporaneous notes, emails, texts and F.B.I. interviews, the report draws out scene after scene of a White House on the edge.",在一个又一个的关键时刻，特朗普让自己在麻烦中越陷越深，他被愤怒和委屈吞没，因为大发雷霆而把顾问变成了对自己不利的证人。报告明确指出，他之所以免于妨碍司法的指控，部分原因正是他的助手们看到了危险，阻止了他凭直觉行事。根据当时的笔记、电子邮件、短信和联邦调查局的约谈，这份报告描绘了白宫一个又一个陷入水深火热的场景。
